,id,retweet_count,favorite_count
465,675006312288268288,240,1015
466,675015141583413248,1272,2819
467,675047298674663426,345,1101
468,675109292475830276,1205,2909
469,675111688094527488,267,1003
470,675113801096802304,827,2031
471,675135153782571009,525,1349
472,675145476954566656,961,2218
473,675146535592706048,330,1244
474,675147105808306176,254,979
475,675149409102012420,1789,3888
476,675153376133427200,2769,6549
477,675166823650848770,1726,3759
478,675334060156301312,1372,2901
479,675349384339542016,2407,4087
480,675354435921575936,18250,34120
481,675362609739206656,242,1091
482,675372240448454658,537,1774
483,675432746517426176,602,1583
484,675483430902214656,1032,1922
485,675489971617296384,632,1353
486,675497103322386432,1382,3269
487,675501075957489664,6206,17852
488,675517828909424640,487,1362
489,675522403582218240,304,1083
490,675531475945709568,411,1230
491,675534494439489536,445,1897
492,675706639471788032,103,670
493,675707330206547968,741,2076
494,675710890956750848,885,1980
495,675740360753160193,371,1213
496,675781562965868544,508,1689
497,675798442703122432,3611,10704
498,675820929667219457,244,1096
499,675822767435051008,567,1589
500,675845657354215424,952,2387
501,675853064436391936,1388,2810
502,675870721063669760,607,1717
503,675878199931371520,1494,4368
504,675888385639251968,1025,2489
505,675891555769696257,934,2230
506,675898130735476737,612,1713
507,676089483918516224,456,1377
508,676098748976615425,1543,3156
509,676101918813499392,1237,2938
510,676146341966438401,715,2001
511,676191832485810177,1099,2384
512,676215927814406144,629,1819
513,676219687039057920,33251,78401
514,676237365392908289,314,1277
515,676263575653122048,586,2173
516,676430933382295552,370,1463
517,676440007570247681,716,1801
518,676470639084101634,5005,12165
519,676496375194980353,570,1589
520,676533798876651520,596,1968
521,676575501977128964,1203,2708
522,676582956622721024,301,1260
523,676588346097852417,857,2447
524,676603393314578432,418,1233
525,676606785097199616,470,1972
526,676613908052996102,208,1141
527,676617503762681856,1053,3035
528,676776431406465024,2158,5234
529,676811746707918848,455,1488
530,676819651066732545,710,1886
531,676821958043033607,16775,24202
532,676864501615042560,769,2208
533,676897532954456065,783,2361
534,676936541936185344,5277,13330
535,676942428000112642,814,2177
536,676946864479084545,405,1782
537,676948236477857792,938,2282
538,676949632774234114,424,1364
539,676957860086095872,867,2313
540,676975532580409345,1150,2914
541,677187300187611136,988,2871
542,677228873407442944,1759,3719
543,677269281705472000,756,2092
544,677301033169788928,442,1309
545,677314812125323265,577,1728
546,677328882937298944,1608,3814
547,677331501395156992,254,1146
548,677334615166730240,317,1425
549,677530072887205888,242,1121
550,677547928504967168,3907,7297
551,677557565589463040,1248,2560
552,677565715327688705,488,1357
553,677573743309385728,782,2247
554,677644091929329666,857,1974
555,677662372920729601,1050,2049
556,677673981332312066,1612,3515
557,677687604918272002,909,2606
558,677698403548192770,342,1288
559,677700003327029250,1551,3572
560,677716515794329600,1044,3200
561,677895101218201600,2274,5081
562,677918531514703872,440,1417
563,678021115718029313,6871,14489
564,678255464182861824,401,1668
565,678278586130948096,6559,12094
566,678334497360859136,288,1369
567,678341075375947776,583,1819
568,678380236862578688,975,2566
569,678389028614488064,454,1970
570,678396796259975168,455,1674
571,678399652199309312,29832,61163
572,678410210315247616,1969,4468
573,678424312106393600,2754,5718
574,678446151570427904,1704,4218
575,678643457146150913,460,2164
576,678675843183484930,1606,3028
577,678740035362037760,1844,3969
578,678755239630127104,3583,7538
579,678764513869611008,517,1728
580,678767140346941444,1477,3728
581,678774928607469569,999,2946
582,678798276842360832,1286,3683
583,678800283649069056,977,2721
584,678969228704284672,498,1730
585,678991772295516161,1272,2453
586,679047485189439488,738,2379
587,679062614270468097,8903,18046
588,679111216690831360,2767,6293
589,679132435750195208,1251,3136
590,679148763231985668,1112,2934
591,679158373988876288,8798,22752
592,679462823135686656,20414,33581
593,679475951516934144,689,2223
594,679503373272485890,1606,3343
